episode_id,timestep,npc_health,npc_stamina,player_health,distance_to_player,allies_nearby,enemies_nearby,has_cover,escape_route,player_visible,player_attacking,npc_ammo,npc_weapon,player_weapon,npc_personality,time_since_seen,previous_action,npc_action,npc_health_ratio,player_health_ration,ammo_state,health_difference,ally_enemy_difference,threat_level
1,0,69.14,92.93,83.36,6.48,3,3,0,0,1,0,30,SNIPER,SHOTGUN,DEFENSIVE,0,PATROL,ATTACK,0.6914,0.8336,HIGH,-14.219999999999999,0,1
1,1,69.14,92.93,83.36,6.48,3,3,0,0,1,0,28,SNIPER,SHOTGUN,DEFENSIVE,0,ATTACK,ATTACK,0.6914,0.8336,HIGH,-14.219999999999999,0,1
1,2,69.14,92.93,83.36,6.48,3,3,0,0,1,1,26,SNIPER,SHOTGUN,DEFENSIVE,0,ATTACK,ATTACK,0.6914,0.8336,HIGH,-14.219999999999999,0,3
1,3,69.14,92.93,78.84,6.48,3,3,0,0,1,0,25,SNIPER,SHOTGUN,DEFENSIVE,0,ATTACK,CHASE,0.6914,0.7884,HIGH,-9.700000000000003,0,1
1,4,69.14,90.38,78.84,3.07,3,3,0,0,1,0,25,SNIPER,SHOTGUN,DEFENSIVE,0,CHASE,ATTACK,0.6914,0.7884,HIGH,-9.700000000000003,0,1
1,5,69.14,90.38,74.81,3.07,3,3,0,0,1,0,23,SNIPER,SHOTGUN,DEFENSIVE,0,ATTACK,ATTACK,0.6914,0.7481,HIGH,-5.670000000000002,0,1
1,6,69.14,90.38,71.53,3.07,3,3,0,0,1,0,21,SNIPER,SHOTGUN,DEFENSIVE,0,ATTACK,ATTACK,0.6914,0.7153,HIGH,-2.3900000000000006,0,1
1,7,69.14,90.38,71.53,3.07,3,3,0,0,0,0,21,SNIPER,SHOTGUN,DEFENSIVE,1,ATTACK,SEARCH,0.6914,0.7153,HIGH,-2.3900000000000006,0,0
1,8,69.14,90.38,71.53,3.07,3,3,0,0,0,0,21,SNIPER,SHOTGUN,DEFENSIVE,2,SEARCH,RETREAT,0.6914,0.7153,HIGH,-2.3900000000000006,0,0
1,9,69.14,91.8,71.53,6.24,3,3,0,0,0,0,21,SNIPER,SHOTGUN,DEFENSIVE,3,RETREAT,SEARCH,0.6914,0.7153,HIGH,-2.3900000000000006,0,0
1,10,69.14,91.8,71.53,6.24,3,3,0,0,0,0,21,SNIPER,SHOTGUN,DEFENSIVE,4,SEARCH,PATROL,0.6914,0.7153,HIGH,-2.3900000000000006,0,0
1,11,69.14,91.8,71.53,6.24,3,3,0,0,0,0,21,SNIPER,SHOTGUN,DEFENSIVE,5,PATROL,SEARCH,0.6914,0.7153,HIGH,-2.3900000000000006,0,0
1,12,69.14,91.8,71.53,6.24,3,3,0,0,0,0,21,SNIPER,SHOTGUN,DEFENSIVE,6,SEARCH,RETREAT,0.6914,0.7153,HIGH,-2.3900000000000006,0,0
1,13,69.14,93.46,71.53,8.16,3,3,0,0,0,0,21,SNIPER,SHOTGUN,DEFENSIVE,7,RETREAT,SEARCH,0.6914,0.7153,HIGH,-2.3900000000000006,0,0
1,14,69.14,93.46,71.53,8.16,3,3,0,0,0,0,21,SNIPER,SHOTGUN,DEFENSIVE,8,SEARCH,SEARCH,0.6914,0.7153,HIGH,-2.3900000000000006,0,0
1,15,69.14,93.46,71.53,8.16,3,3,0,0,0,0,21,SNIPER,SHOTGUN,DEFENSIVE,9,SEARCH,SEARCH,0.6914,0.7153,HIGH,-2.3900000000000006,0,0
1,16,69.14,93.46,71.53,8.16,3,3,0,0,0,0,21,SNIPER,SHOTGUN,DEFENSIVE,10,SEARCH,SEARCH,0.6914,0.7153,HIGH,-2.3900000000000006,0,0
1,17,69.14,93.46,71.53,8.16,3,3,0,0,0,0,21,SNIPER,SHOTGUN,DEFENSIVE,11,SEARCH,SEARCH,0.6914,0.7153,HIGH,-2.3900000000000006,0,0
